subtype;description
Smaragdine;green-skinned humanoid with black striped tattoos. A chrystalline cityscape in the background
Hyehoon;humanoid with feather-like hair and sharp bird-like facial features. Thick clouds in the background with terracotta buildings peeking through
Gnome;humanoid with no hair, short stature, and a thick and wrinkled brown skin. In the background, the interior of a cave with mining robots all around
Neshekk;humanoid with no hair, wrinkled purplish skin, and large nose and ears. In the background, the interior of a luxurious art-deco building
Deva;blue-skinned humanoid with no body hair, no clothes, and angel-like wings. In the background, incomprehensibly complicated tech manufacts
Vokun;purple-skinned humanoid wearing sumptuous ottoman-style clothes, inside an opulent palace
Kuath;a scary warrior in a futuristic black bio-armour, surrounded by stormy cliffs by the sea
Mnaat;a large pillworm or isopod, with a cartoonishly happy face, holding futuristic equipment in his hands, inside a spaceship
Voidglider;a strange humanoid with a wide elongated head and black eyes, wearing a flowing robe, with stars in the background
Ibglib;a humanoid with an elongated head and yellowish skin, wearing formal robes, and surrounded by blackboards filled with equations
Commander;with a stern look, in military high uniform with medals
Explorer;goggles, instruments, and a rucksack
Diplomat;smartly dressed, with vessils in the background
Scientist;wearing a lab-coat and carrying fanta-scientific instruments. Monitors and bleeping machines in the backgrond
VIP;and a laurel crown
Soldier;combat uniform, arms at ready (a futuristic blaster rifle)
Engineer;carrying weird engineering utensils
Cybernetic;with cybernetic implants and compnents sticking of of their head and body
Pilot;wearing a flight uniform and VR goggles, inside a starship cockpit
